site	log2fold	pval	celline	gene	corr_sp	coaccess	qval
chr14_104957547-104986476_CA_1.0000	0.128382330461196	8.2572197420529e-05	MDA	AHNAK2	0.282179554488862	1	8.4674102154894e-06
chr14_104743481_104753487_CA_0.9461	-0.0695767737283419	0.00802288401987205	MDA	AHNAK2	-0.731700292507313	0.9461	0.000746677939543174
chr14_105005125_105032932_CA_0.9422	0.0948798070797727	1.31601781646752e-14	MDA	AHNAK2	0.619947498687467	0.9422	1.87448971589561e-15
chr14_104794069_104828001_CA_0.9308	-0.24398615371384	4.18794051010147e-36	MDA	AHNAK2	-0.626129153228831	0.9308	1.03419679891611e-36
chr14_105086754_105102920_CA_0.9193	0.00318941442905073	0.244974749302522	MDA	AHNAK2	0.314245856146404	0.9193	0.0205068258217867
chr14_104677556_104733331_CA_0.9005	-0.17343935222722	1.07094784862994e-51	MDA	AHNAK2	-0.593401335033376	0.9005	4.173919145847e-52
chr14_105045638_105075231_CA_0.8979	0.330461496054543	6.25265519469974e-48	MDA	AHNAK2	0.969592739818495	0.8979	2.14576855688435e-48
chr14_105247959_105255561_CA_0.8905	-0.193434236790033	6.08959407880698e-16	MDA	AHNAK2	-0.506916672916823	0.8905	8.9973731874353e-17
chr14_105165049_105205052_CA_0.8879	-0.276798345993176	3.81659710723885e-24	MDA	AHNAK2	-0.603771094277357	0.8879	6.92134254394429e-25
chr14_104768346_104779191_CA_0.8691	-0.280620789827759	2.53465612478144e-07	MDA	AHNAK2	-0.603207080177005	0.8691	2.87909394873062e-08
chr14_104639962_104666967_CA_0.8453	-0.00511120416675759	0.944870957908953	MDA	AHNAK2	-0.0459641491037276	0.8453	0.0737070043406581
chr14_104924887_104935510_CA_0.8346	-0.129771764106797	8.08866109862962e-12	MDA	AHNAK2	-0.626129153228831	0.8346	1.06834799246504e-12
chr14_104843589_104882954_CA_0.8269	-0.0502767712099418	0.000127150397461749	MDA	AHNAK2	-0.348577214430361	0.8269	1.29265706791835e-05
chr14_105118629_105127442_CA_0.7764	0.0871980492447438	8.80696529579114e-10	MDA	AHNAK2	0.207929198229956	0.7764	1.09005162676466e-10
chr14_104896476_104896976_CA_0.6825	0.462145228403758	1.49768490895876e-34	MDA	AHNAK2	0.705730143253582	0.6825	3.5638949923684e-35
chr14_105144975_105155043_CA_0.6672	-0.121175964415769	0.0404926467633662	MDA	AHNAK2	-0.113720843021076	0.6672	0.00360151461571068
chr14_105224073_105225577_CA_0.6441	0.239644466036468	2.73400951213065e-09	MDA	AHNAK2	0.236806420160504	0.6441	3.3313368239956e-10
chr3_105366217-105369846_CA_1.0000	-0.181775917621649	2.81854730761562e-41	MDA	ALCAM	-0.0322328058201455	1	8.01071803148248e-42
chr3_105512969-105534298_CA_1.0000	-0.153429439545377	2.22168162832453e-43	MDA	ALCAM	-0.9779194479862	1	6.70363923097037e-44
chr3_105387081_105402922_CA_0.8398	-0.00348506254215443	0.726013426284927	MDA	ALCAM	0.653077326933173	0.8398	0.0576410024473639
chr3_105274603_105275491_CA_0.5560	1.6303493246919	1.05138758658933e-80	MDA	ALCAM	0.822598064951624	0.556	1.34419063013539e-80
chr3_105119016_105120297_CA_0.4310	-0.0484671344993053	3.41790820771959e-05	MDA	ALCAM	0.39028875721893	0.431	3.56219840149355e-06
chr3_105195199_105196218_CA_0.2645	0.893620291461622	5.27958045613389e-44	MDA	ALCAM	0.830278256956424	0.2645	1.61846828759103e-44
chr3_105366217_105369846_CA_0.2074	-0.168675040625722	7.18433982510457e-63	MDA	ALCAM	-0.483397584939624	0.2074	4.08303089081543e-63
chr3_105512969_105534298_CA_0.2074	0.0432280305489917	0.33829532563735	MDA	ALCAM	0.723430585764644	0.2074	0.0279202181122045
chr3_105746849_105753197_CA_-0.2090	0.54132204093121	1.14883630937445e-56	MDA	ALCAM	0.781062026550664	-0.209	5.31288356469904e-57
chr9_33430922-33480680_CA_1.0000	-0.230250578158033	5.82500764963136e-44	MDA	AQP3	-0.673623340583515	1	1.78389106134119e-44
chr9_33044105_33045109_CA_0.4928	-0.190424700710055	2.23573448362526e-49	MDA	AQP3	-0.142086552163804	0.4928	8.07274236170964e-50
chr9_33024891_33025677_CA_0.4709	-0.219937548728497	3.58514389036485e-40	MDA	AQP3	-0.678376959423986	0.4709	9.88953606726146e-41
chr9_33225518_33234424_CA_0.3760	-0.0439858682760352	0.000391213564578767	MDA	AQP3	-0.303717092927323	0.376	3.89275075900759e-05
chr9_33734914_33751322_CA_0.3640	0.6574370144706	8.74002842680657e-78	MDA	AQP3	0.687018675466887	0.364	9.00215545489492e-78
chr9_33101116_33117991_CA_0.2918	0.400795253847841	9.53521785601181e-75	MDA	AQP3	0.691095777394435	0.2918	8.39726144672179e-75
chr9_33403217_33418494_CA_0.2599	0.144551633818107	3.53032006550579e-43	MDA	AQP3	0.100577514437861	0.2599	1.06064715012705e-43
chr9_33000875_33008167_CA_0.2519	-0.42034232520251	1.94847655280199e-31	MDA	AQP3	-0.674089852246306	0.2519	4.26480027282229e-32
chr9_33307087_33307587_CA_0.2505	0.0365191477818045	0.000833498410965742	MDA	AQP3	0.347930698267457	0.2505	8.16521013480239e-05
chr9_33372860_33392120_CA_0.2397	-0.0305229596123621	2.71091339354555e-06	MDA	AQP3	-0.612513312832821	0.2397	2.95439266881495e-07
chr9_33076132_33083243_CA_0.1981	0.0232730804901572	0.00114454754297664	MDA	AQP3	0.651497787444686	0.1981	0.000111313673921309
chr9_33598949_33599449_CA_0.1940	-0.298459737790027	1.67185228419258e-22	MDA	AQP3	-0.646718667966699	0.194	2.92188632626652e-23
chr9_33286987_33291184_CA_0.1882	-0.141578278654865	3.91824879426139e-18	MDA	AQP3	-0.69435235880897	0.1882	6.13798026220046e-19
chr9_33129808_33194315_CA_0.1849	-0.0690767377538153	1.57736857998885e-35	MDA	AQP3	-0.137742443561089	0.1849	3.83607700608926e-36
chr9_33506579_33524323_CA_0.1608	0.0652220706982895	6.48501998738043e-06	MDA	AQP3	0.193906847671192	0.1608	6.94967753705973e-07
chr15_44711868-44712368_CA_1.0000	-0.147594294293239	0.00310646113071385	MDA	B2M	0.463157578939474	1	0.0002953198922341
chr15_44536134_44567883_CA_0.2757	0.100251898758636	4.2752528890854e-19	MDA	B2M	0.606120153003825	0.2757	6.8702120159211e-20
chr15_44426821_44436729_CA_0.2504	-0.0728606528420004	3.35725743429455e-05	MDA	B2M	-0.828694217355434	0.2504	3.49993665612022e-06
chr15_44663044_44671000_CA_0.2167	-0.148032874348919	1.96853470859953e-18	MDA	B2M	-0.950156753918848	0.2167	3.10844696903867e-19
chr15_44287754_44299321_CA_0.2078	0.129333709840727	1.69776144379752e-21	MDA	B2M	0.136722418060452	0.2078	2.90021173886134e-22
