site	log2fold	pval	celline	gene	corr_sp	coaccess	qval
chr3_158709577-158774590_CA_1.0000	0.391235374229821	9.41079479559934e-18	MDA	RARRES1	-0.6390399759994	1	1.44324571325831e-18
chr3_158686850_158687350_CA_0.7060	-0.258182432061701	2.6274502047789e-51	MDA	RARRES1	0.821947048676217	0.706	1.03367151657076e-51
chr3_158672210_158673076_CA_0.6702	-0.248379715260055	3.82403844445494e-63	MDA	RARRES1	0.873389334733368	0.6702	2.22003409198173e-63
chr3_158911627_158918750_CA_0.2227	0.277405994590822	2.33904793843675e-76	MDA	RARRES1	-0.700504012600315	0.2227	2.1757084839809e-76
chr3_158845760_158846260_CA_-0.2220	0.366788916997848	4.25720363234375e-06	MDA	RARRES1	0.0848601215030376	-0.222	4.48393369131339e-07
chr3_159191437_159208564_CA_-0.3262	0.169025061452091	5.16482271759671e-06	MDA	RARRES1	-0.663829595739894	-0.3262	5.42474191880184e-07
chr3_158634442_158660112_CA_-0.4142	-0.117767551262619	1.40759230379978e-23	MDA	RARRES1	0.684567614190355	-0.4142	2.52112046679222e-24
chr3_158419878_158421333_CA_-0.4762	0.170188031653599	1.71211670559294e-09	MDA	RARRES1	-0.330894772369309	-0.4762	2.04813175151661e-10
chr3_159158275_159175586_CA_-0.4923	0.480857501254064	1.7828116186575e-28	MDA	RARRES1	-0.512946823670592	-0.4923	3.63406903605231e-29
chr11_2929529-2930607_CA_NA	-0.054294102467454	0.000392084431389758	MDA	PHLDA2	-0.209687242181055	NA	3.78996046852511e-05
chr11_69229429-69338280_CA_1.0000	-0.544405601115254	3.00117529884469e-51	MDA	MYEOV	0.915664891622291	1	1.17752994303981e-51
chr11_69587490_69722215_CA_0.9708	-0.117816470123761	5.18380828272235e-29	MDA	MYEOV	0.965257631440786	0.9708	1.07503033671446e-29
chr11_69075399_69138817_CA_0.9549	-0.0263028064912632	0.0296102014416394	MDA	MYEOV	0.0162124053101328	0.9549	0.00257308729302885
chr11_69550809_69568347_CA_0.8714	0.24767716025554	2.41084638464032e-07	MDA	MYEOV	-0.716170404260107	0.8714	2.66655365091663e-08
chr11_69348398_69420958_CA_0.8381	0.0639721215414795	0.0622261313718491	MDA	MYEOV	-0.667909697742444	0.8381	0.00527409510502455
chr11_69497197_69497910_CA_0.7415	0.130316644884363	0.00242930225004489	MDA	MYEOV	-0.433249831245781	0.7415	0.000225234823572445
chr11_69732824_69734296_CA_0.7346	0.251069300856327	4.73879722685679e-10	MDA	MYEOV	-0.837571439285982	0.7346	5.77879063750763e-11
chr11_69436867_69448206_CA_0.6429	-0.126043491810396	5.74543002731707e-22	MDA	MYEOV	-0.193966849171229	0.6429	9.87603845801294e-23
chr11_69186178_69186678_CA_0.5790	-0.186294277788203	8.48835287031688e-10	MDA	MYEOV	0.828698717467937	0.579	1.0254976460684e-10
chr11_69460180_69463869_CA_0.5467	0.480669130490989	1.05545793192156e-14	MDA	MYEOV	-0.413704342608565	0.5467	1.48557156400483e-15
chr11_69539707_69540500_CA_0.5345	-0.536350867395133	2.21312611096719e-46	MDA	MYEOV	0.909261231530788	0.5345	7.4679221745342e-47
chr11_69744349_69745600_CA_0.5136	0.0225801927128232	0.00147733397713331	MDA	MYEOV	-0.324474611865297	0.5136	0.000138641216574987
chr11_69149477_69165472_CA_0.4767	-0.122432312387197	0.00262479642707797	MDA	MYEOV	0.00137553438835971	0.4767	0.000242702166296697
chr11_68751299_68764666_CA_0.3970	-0.0172636774956176	0.0190164433298503	MDA	MYEOV	-0.337562439060977	0.397	0.00167251676333473
chr11_69479689_69480189_CA_0.1842	-0.0485379069327355	0.118908772773876	MDA	MYEOV	0.6299197479937	0.1842	0.00985614031491078
chr11_68974621_68975121_CA_-0.1526	-0.338499434148301	4.23701802665576e-67	MDA	MYEOV	0.786501162529063	-0.1526	2.8324833292719e-67
chr11_68775602_68776783_CA_-0.1715	-0.00751798540368596	0.867821251194141	MDA	MYEOV	-0.4331193279832	-0.1715	0.0658281706768785
chr11_69027958_69049588_CA_-0.3317	-0.225514051389506	2.40393421225093e-53	MDA	MYEOV	0.835633390834771	-0.3317	1.01105467717915e-53
chr11_68924429_68924929_CA_-0.3631	0.0815607682548346	0.0329187238790078	MDA	MYEOV	-0.446781669541739	-0.3631	0.00285000264318101
chr11_68796697_68844328_CA_-0.3839	-0.0774695834065716	1.91033437834851e-39	MDA	MYEOV	0.50326408160204	-0.3839	5.25925211827618e-40
chr11_68998324_69011371_CA_-0.3996	0.0227034390314649	0.739687529263335	MDA	MYEOV	-0.415934898372459	-0.3996	0.0567567067176526
chr11_68869501_68873051_CA_-0.4981	-0.0380695075568336	3.71812026385949e-05	MDA	MYEOV	0.372394809870247	-0.4981	3.77370384375293e-06
chr11_68890084_68906102_CA_-0.5092	-0.140095600327691	4.43117357631159e-51	MDA	MYEOV	0.533623340583515	-0.5092	1.72873681054181e-51
chr11_68946417_68964305_CA_-0.5258	-0.0702166870266103	0.000179003257562116	MDA	MYEOV	-0.455862896572414	-0.5258	1.75981240942132e-05
chr11_69510453_69524854_CA_-0.5297	-0.183182078906872	7.9936063153298e-18	MDA	MYEOV	-0.210039750993775	-0.5297	1.22783733835637e-18
chr11_68857149_68857983_CA_-0.5394	-0.0954522120129524	2.288444044306e-10	MDA	MYEOV	-0.150779269481737	-0.5394	2.82455230039414e-11
chr16_56569894-56702500_CA_1.0000	-0.231435481172075	1.10735929589568e-70	MDA	MT2A	0.513914347858696	1	8.27315334371742e-71
chr16_56836342_56836842_CA_0.5233	-0.155960615812005	2.64206084618663e-20	MDA	MT2A	-0.0591389784744619	0.5233	4.35092229009447e-21
chr16_56370768_56389996_CA_0.5135	0.0317745020400849	0.00025258271968548	MDA	MT2A	-0.829169729243231	0.5135	2.46638710791285e-05
chr16_56847971_56871715_CA_0.4760	0.00187535962330408	0.820590518159344	MDA	MT2A	-0.642392559813995	0.476	0.0625743315530121
chr16_56806880_56824807_CA_0.4483	-0.150470462755746	5.00629616022302e-35	MDA	MT2A	0.0668311707792695	0.4483	1.21265175388223e-35
chr16_56547551_56558905_CA_0.4183	0.122723228099434	5.45137348605296e-16	MDA	MT2A	0.314071851796295	0.4183	7.939541698334e-17
chr16_56742478_56750528_CA_0.3757	0.622847860977092	9.98833657676903e-80	MDA	MT2A	-0.863345083627091	0.3757	1.09043694589766e-79
chr16_56788344_56794051_CA_0.3362	-0.117897817329955	7.00629681127998e-05	MDA	MT2A	-0.479225980649516	0.3362	7.0208383105908e-06
chr16_56773225_56776953_CA_0.3166	-0.170424878956074	1.02254944107906e-35	MDA	MT2A	0.17174379359484	0.3166	2.52446574579985e-36
chr16_56506895_56531315_CA_0.3081	-0.00837502487223839	0.114941820860969	MDA	MT2A	0.656629415735394	0.3081	0.00953679173253949
chr16_56469930_56477638_CA_0.2770	-0.0735886888548477	2.79299823243805e-13	MDA	MT2A	-0.1388794719868	0.277	3.77748304287424e-14
chr16_56728887_56730586_CA_0.2572	-0.314558544800768	1.21381209827299e-60	MDA	MT2A	0.966601665041626	0.2572	6.43927142884991e-61
chr16_56964664_57001032_CA_0.2454	0.0356413670702996	0.19368042242446	MDA	MT2A	-0.685524638115953	0.2454	0.0157797609390789
chr16_56910195_56933222_CA_0.2451	-0.120681675041646	8.79516707830527e-49	MDA	MT2A	0.686909172729318	0.2451	3.20059136100557e-49
chr16_56443085_56458371_CA_0.2196	-0.0166405596516444	0.0363291137006421	MDA	MT2A	0.826963174079352	0.2196	0.00313528103181036
chr16_56945094_56951684_CA_0.2010	-0.303317211754591	1.06940106165834e-67	MDA	MT2A	0.586961674041851	0.201	7.29076914180206e-68
chr16_56401435_56426942_CA_0.1728	-0.0224098463412314	0.00131048377271182	MDA	MT2A	0.750008250206255	0.1728	0.000123379180343606
chr16_56889136_56894918_CA_-0.3078	-0.0823478165743088	0.00987436443454331	MDA	MT2A	-0.543021075526888	-0.3078	0.000885784946352135
chr16_56569894-56702500_CA_1.0000	-0.181362648606141	2.31466900926018e-36	MDA	MT1X	0.264426610665267	1	5.83267498231024e-37
chr16_56836342_56836842_CA_0.5233	-0.155960615812005	2.64206084618663e-20	MDA	MT1X	-0.0557578939473487	0.5233	4.35092229009447e-21
chr16_56370768_56389996_CA_0.5135	0.0317745020400849	0.00025258271968548	MDA	MT1X	-0.826790669766744	0.5135	2.46638710791285e-05
chr16_56847971_56871715_CA_0.4760	0.00187535962330408	0.820590518159344	MDA	MT1X	-0.639677491937299	0.476	0.0625743315530121
chr16_56806880_56824807_CA_0.4483	-0.150470462755746	5.00629616022302e-35	MDA	MT1X	0.0703322583064577	0.4483	1.21265175388223e-35
chr16_56547551_56558905_CA_0.4183	0.122723228099434	5.45137348605296e-16	MDA	MT1X	0.311127278181955	0.4183	7.939541698334e-17
chr16_56742478_56750528_CA_0.3757	0.622847860977092	9.98833657676903e-80	MDA	MT1X	-0.859587489687242	0.3757	1.09043694589766e-79
chr16_56788344_56794051_CA_0.3362	-0.117897817329955	7.00629681127998e-05	MDA	MT1X	-0.476423910597765	0.3362	7.0208383105908e-06
chr16_56773225_56776953_CA_0.3166	-0.170424878956074	1.02254944107906e-35	MDA	MT1X	0.174883372084302	0.3166	2.52446574579985e-36
chr16_56506895_56531315_CA_0.3081	-0.00837502487223839	0.114941820860969	MDA	MT1X	0.653786844671117	0.3081	0.00953679173253949
chr16_56469930_56477638_CA_0.2770	-0.0735886888548477	2.79299823243805e-13	MDA	MT1X	-0.135760894022351	0.277	3.77748304287424e-14
chr16_56728887_56730586_CA_0.2572	-0.314558544800768	1.21381209827299e-60	MDA	MT1X	0.964222605565139	0.2572	6.43927142884991e-61
chr16_56964664_57001032_CA_0.2454	0.0356413670702996	0.19368042242446	MDA	MT1X	-0.682883072076802	0.2454	0.0157797609390789
chr16_56910195_56933222_CA_0.2451	-0.120681675041646	8.79516707830527e-49	MDA	MT1X	0.690066751668792	0.2451	3.20059136100557e-49
chr16_56443085_56458371_CA_0.2196	-0.0166405596516444	0.0363291137006421	MDA	MT1X	0.824584114602865	0.2196	0.00313528103181036
chr16_56945094_56951684_CA_0.2010	-0.303317211754591	1.06940106165834e-67	MDA	MT1X	0.582814070351759	0.201	7.29076914180206e-68
chr16_56401435_56426942_CA_0.1728	-0.0224098463412314	0.00131048377271182	MDA	MT1X	0.747405685142129	0.1728	0.000123379180343606
chr16_56889136_56894918_CA_-0.3078	-0.0823478165743088	0.00987436443454331	MDA	MT1X	-0.540283507087677	-0.3078	0.000885784946352135
chr8_29331564-29351355_CA_1.0000	-0.246483465305752	5.92572745806811e-47	MDA	DUSP4	0.489184729618241	1	2.03959052821471e-47
chr8_29511521_29530380_CA_0.7327	-0.0720174946439157	1.90926557720549e-13	MDA	DUSP4	0.60899122478062	0.7327	2.59485610736017e-14
chr8_29583562_29607727_CA_0.6688	-0.130788223879645	1.38586943507639e-30	MDA	DUSP4	0.367500187504688	0.6688	2.98744209369454e-31
chr8_29735076_29741527_CA_0.6158	-0.0980853288367115	8.46862242386456e-26	MDA	DUSP4	0.625734643366084	0.6158	1.60559379809738e-26
chr8_29314588_29320826_CA_0.5653	-0.161277234480899	1.10374527790735e-52	MDA	DUSP4	0.746867171679292	0.5653	4.54089693913246e-53
chr8_29555351_29563170_CA_0.5582	-0.0141564848405741	0.171942966847528	MDA	DUSP4	-0.301431035775894	0.5582	0.0140671573703806
chr8_29542154_29542994_CA_0.5144	-0.117461510324644	0.0168600667277426	MDA	DUSP4	-0.304123603090077	0.5144	0.00148857174163597
