ENSG00000001167_LINE1661_NFYA_D_N2	CBF/NF-Y
ENSG00000004848_LINE2163_ARX_D	Homeodomain
ENSG00000005073_LINE2164_HOXA11_I	Homeodomain
ENSG00000005102_LINE2165_MEOX1_D	Homeodomain
ENSG00000005513_LINE3332_SOX8_D_N2	Sox
ENSG00000005889_LINE590_ZFX_D	C2H2
ENSG00000006047_LINE2211_YBX2_I_N1	CSD
ENSG00000006194_LINE594_ZNF263_D_N2	C2H2
ENSG00000006377_LINE2166_DLX6_D	Homeodomain
ENSG00000006468_LINE1799_ETV1_D	Ets
ENSG00000007372_LINE2605_PAX6_D_N3	Homeodomain,Paired
ENSG00000007866_LINE3572_TEAD3_D_N1	TEA
ENSG00000007968_LINE1743_E2F2_D_N1	E2F
ENSG00000008196_LINE2_TFAP2B_D_N1	AP-2
ENSG00000008197_LINE6_TFAP2D_D	AP-2
ENSG00000008441_LINE3303_NFIX_D_N2	SMAD
ENSG00000009709_LINE2611_PAX7_D_N2	Homeodomain,Paired
ENSG00000009950_LINE78_MLXIPL_D_N1	bHLH
ENSG00000010030_LINE1801_ETV7_D	Ets
ENSG00000010818_LINE598_HIVEP2_D	C2H2
ENSG00000012504_LINE2885_NR1H4_D	Nuclear
ENSG00000016082_LINE2169_ISL1_D	Homeodomain
ENSG00000019549_LINE604_SNAI2_D_N2	C2H2
ENSG00000020633_LINE3271_RUNX3_D_N2	Runt
ENSG00000025156_LINE2707_HSF2_D_N2	HSF
ENSG00000025434_LINE2886_NR1H3_I	Nuclear
ENSG00000028277_LINE2631_POU2F2_D_N7	Homeodomain,POU
ENSG00000029153_LINE80_ARNTL2_I	bHLH
ENSG00000037965_LINE2170_HOXC8_D	Homeodomain
ENSG00000039600_LINE3341_SOX30_I	Sox
ENSG00000043039_LINE2171_BARX2_D	Homeodomain
ENSG00000043355_LINE608_ZIC2_D_N2	C2H2
ENSG00000049768_LINE1933_FOXP3_D_N1	Forkhead
ENSG00000050344_LINE1236_NFE2L3_I_N2	bZIP
ENSG00000052850_LINE2173_ALX4_D	Homeodomain
ENSG00000053254_LINE2536_FOXN3_I_N9	Forkhead
ENSG00000054598_LINE1938_FOXC1_D_N2	Forkhead
ENSG00000057657_LINE611_PRDM1_D_N4	C2H2
ENSG00000060138_LINE2216_CSDA_I_N1	CSD
ENSG00000060566_LINE327_CREB3L3_I	bZIP
ENSG00000063438_LINE82_AHRR_I	bHLH
ENSG00000063515_LINE2174_GSC2_D	Homeodomain
ENSG00000064195_LINE2175_DLX3_D_N2	Homeodomain
ENSG00000064218_LINE1728_DMRT3_D	DM
ENSG00000064489_LINE2769_AC0021266_I	MADS
ENSG00000064835_LINE2641_POU1F1_D_N1	Homeodomain,POU
ENSG00000064961_LINE3344_HMG20B_I	Sox
ENSG00000065029_LINE624_ZNF76_I	C2H2
ENSG00000065970_LINE1948_FOXJ2_D_N2	Forkhead
ENSG00000065978_LINE1683_YBX1_D	CSD
ENSG00000066136_LINE3604_NFYC_D	Unknown
ENSG00000066336_LINE1813_SPI1_D_N5	Ets
ENSG00000067082_LINE628_KLF6_D	C2H2
ENSG00000067646_LINE629_ZFY_I	C2H2
ENSG00000068305_LINE2786_MEF2A_D_N8	MADS
ENSG00000068323_LINE84_TFE3_D_N1	bHLH
ENSG00000069011_LINE2181_PITX1_D_N3	Homeodomain
ENSG00000069667_LINE2896_RORA_D_N5	Nuclear
ENSG00000069812_LINE86_HES2_I	bHLH
ENSG00000070444_LINE87_MNT_D	bHLH
ENSG00000071564_LINE91_TCF3_D_N2	bHLH
ENSG00000072310_LINE94_SREBF1_D_N3	bHLH
ENSG00000072736_LINE3185_NFATC3_D_N2	Rel
ENSG00000073282_LINE3139_TP63_D_N1	p53
ENSG00000073861_LINE3513_TBX21_D_N2	T-box
ENSG00000074047_LINE632_GLI2_D_N2	C2H2
ENSG00000075426_LINE328_FOSL2_D_N3	bZIP
ENSG00000075891_LINE2612_PAX2_D_N1	Homeodomain,Paired
ENSG00000077092_LINE2898_RARB_D_N1	Nuclear
ENSG00000077150_LINE3188_NFKB2_D_N1	Rel
ENSG00000078399_LINE2184_HOXA9_D_N1	Homeodomain
ENSG00000078900_LINE3145_TP73_D_N2	p53
ENSG00000079432_LINE3346_CIC_I	Sox
ENSG00000080298_LINE3238_RFX3_D_N2	RFX
ENSG00000081059_LINE3348_TCF7_D	Sox
ENSG00000081189_LINE2787_MEF2C_D_N3	MADS
ENSG00000082175_LINE2903_PGR_D_N1	Nuclear
ENSG00000082641_LINE332_NFE2L1_D_N2	bZIP
ENSG00000084093_LINE665_REST_D_N10	C2H2
ENSG00000085276_LINE669_MECOM_D_N5	C2H2
ENSG00000087510_LINE7_TFAP2C_D_N3	AP-2
ENSG00000087903_LINE3242_RFX2_D_N2	RFX
ENSG00000089094_LINE1718_KDM2B_D	CxxC
ENSG00000089116_LINE2188_LHX5_I	Homeodomain
